阿	a
飘	pm
破	po
配	pp
撇	pt
普	pu
品	px
凭	py
朋	pz
却	qg
起	qi
前	qj
群	qk
巧	qm
球	qn
强	qq
全	qr
穷	qs
切	qt
去	qu
亲	qx
情	qy
热	re
肉	rf
认	rg
让	rh
日	ri
润	rk
然	rl
若	ro
软	rr
容	rs
如	ru
瑞	rv
仍	rz
萨	sa
扫	sc
赛	sd
色	se
私	si
孙	sk
三	sl
索	so
算	sr
送	ss
速	su
虽	sv
她	ta
逃	tc
太	td
特	te
头	tf
唐	th
体	ti
天	tj
吞	tk
谈	tl
条	tm
拖	to
团	tr
同	ts
铁	tt
土	tu
退	tv
听	ty
腾	tz
炸	ua
招	uc
着	ue
周	uf
真	ug
张	uh
纸	ui
准	uk
战	ul
桌	uo
装	uq
转	ur
中	us
主	uu
追	uv
抓	uw
正	uz
差	va
朝	vc
车	ve
丑	vf
沉	vg
厂	vh
吃	vi
产	vl
传	vr
处	vu
吹	vv
成	vz
瓦	wa
外	wd
问	wg
王	wh
完	wl
握	wo
为	wp
五	wu
学	xg
西	xi
现	xj
寻	xk
小	xm
修	xn
想	xq
选	xr
兄	xs
些	xt
许	xu
吓	xw
心	xx
行	xy
亚	ya
要	yc
也	ye
有	yf
月	yg
样	yh
以	yi
云	yk
烟	yl
原	yr
用	ys
与	yu
因	yx
应	yy
杂	za
早	zc
再	zd
则	ze
走	zf
怎	zg
子	zi
尊	zk
赞	zl
做	zo
总	zs
阻	zu
最	zv
曾	zz
拜	ag
抱	ab
持	ac
换	ad
承	ae
排	af
打	ah
折	aj
抛	al
挥	am
投	ap
挤	aq
指	ar
挨	as
抽	at
摸	au
拿	av
撒	aw
掌	ax
报	ay
摇	az
冰	be
疯	bf
百	bh
宴	bn
次	bq
宣	br
包	bs
货	bv
宝	bw
室	bz
蛇	cb
轻	cg
御	cj
循	cm
长	cp
厌	cq
得	cr
压	ct
徐	cv
微	cw
辅	cy
死	db
划	dg
制	dn
失	dp
刘	dw
争	dx
浙	ea
演	eb
源	ec
注	ed
游	ef
江	eg
二	eh
深	ei
渐	ej
消	el
泪	em
河	eo
波	ep
清	eq
活	es
油	et
满	eu
池	ev
激	ew
沙	ex
汉	ey
滩	ez
约	fb
阵	fc
防	ff
纪	fj
陆	fk
继	fm
素	fq
阳	fr
族	fs
细	ft
飞	fv
绕	fw
店	gb
床	gi
既	gj
魔	gm
威	gn
座	gt
灰	hh
虎	hj
且	ht
秒	hx
松	ib
术	id
机	ij
相	im
查	ir
标	is
果	it
档	ix
斯	jb
触	jc
京	jd
帮	jf
卫	jh
师	jl
铅	jo
斤	jp
视	js
锋	jz
管	kb
策	ki
笔	km
竹	kp
哀	kt
凶	kx
办	lb
益	mb
农	mk
精	mq
盟	mr
母	mv
重	mw
物	nb
妖	nd
娜	nf
娃	nt
牧	nw
啦	oa
只	ob
吴	od
喊	og
号	oh
呆	oi
嘴	oj
商	ol
吗	om
告	on
响	oo
呼	op
器	oq
喝	or
吧	os
吐	ot
合	ov
名	ox
善	oy
售	oz
屁	pb
尿	pe
展	pk
尽	pn
砍	pq
千	ps
久	pv
狗	qb
酬	qc
静	qd
青	qh
猪	ql
歌	qo
欠	qp
猴	qv
狂	qw
酸	qz
易	rb
时	rc
晚	rd
景	rj
晕	rm
入	rp
晴	rq
雷	rt
晓	rw
雪	rx
暗	ry
密	sb
罪	sf
十	sh
岛	sn
食	sp
饮	sq
直	st
岁	sx
须	sy
六	tb
城	tg
坡	tp
堂	tx
菊	ub
英	ud
节	uj
蓝	um
董	up
艾	ux
芽	uy
化	vb
住	vd
佩	vj
依	vk
件	vn
使	vo
假	vp
伏	vq
什	vs
停	vt
伟	vw
伊	vx
信	vy
瓶	wb
四	we
放	wf
珠	wi
改	wj
敌	ws
效	wt
收	wv
国	ww
整	wz
懒	xb
愿	xc
忍	xd
率	xe
悲	xf
愁	xh
归	xl
香	xp
忆	xv
息	xz
言	yd
记	yj
设	yp
请	yq
变	yt
警	yw
受	yz
字	zb
至	zh
近	zj
迷	zm
自	zp
臭	zq
遭	zr
备	zt
邀	zw
步	zx
雅	zy
阴	fx
止	hb
克	kj
向	oc
犯	qe
型	tq
园	wm
限	fn
兵	bb
厦	cx
渴	ek
嗯	oe
呵	ok
救	wq
被	bk
电	dq
洪	hn
加	ja
济	je
己	jv
妈	mn
梦	ms
嫩	nk
道	ow
爬	pr
缺	qf
旦	ra
树	sm
填	tn
它	tw
万	wn
忘	wx
文	wy
笑	xa
元	yb
页	ym
音	yn
已	yv
钻	zn
式	sz
副	fd
盒	hm
睡	vm
费	fe
锦	gx
生	sg
随	sw
又	yo
枪	ak
华	cn
鱼	fi
嗨	hi
里	in
刀	kn
关	of
量	pw
质	qa
雨	rn
联	un
厕	wc
星	wk
世	wr
酒	xo
极	sj
无	ut
译	fy
阿	aaf
锕	aaj
錒	aajm
腌	aal
啊	aao
呵	aaob
嗄	aaoc
吖	aaod
醃	aaqm
骯	aggm
枊	agim
卬	agjm
肮	agl
盎	agm
醠	agqm
昂	agr
昻	agrm
岇	agsm
挨	aia
捱	aiab
癌	aib
皑	aibb
皚	aibm
凒	aibn
賹	aibo
皧	aibp
溾	aiem
溰	aien
濭	aieo
隘	aif
阨	aifm
隑	aifn
絠	aifo
焥	aihm
锿	aij
鎄	aijm
鑀	aijn
哀	aik
毐	aimm
騃	aimn
瞹	aimo
嫒	ain
嬡	ainm
娭	ainn
娾	aino
鴱	ainp
唉	aio
哎	aiob
呆	aioc
嗳	aiod
嗌	aioe
噯	aiom
啀	aion
嘊	aioo
碍	aip
砹	aipb
礙	aipm
硙	aipn
硋	aipo
磑	aipp
欬	aiqm
欸	aiqn
霭	air
暧	airb
靄	airm
曖	airn
昹	airo
靉	airp
矮	ais
嵦	aism
叆	aisn
躷	aiso
餲	aisp
埃	ait
堨	aitm
塧	aitn
壒	aito
艾	aiu
蔼	aiub
藹	aium
薆	aiun
伌	aivm
佁	aivn
僾	aivo
瑷	aiw
璦	aiwm
敱	aiwn
敳	aiwo
愛	aixm
懓	aixn
懝	aixo
馤	aixp
誒	aiym
諰	aiyn
譪	aiyo
譺	aiyp
鱫	aiyq
爱	aiz
按	ana
揞	anab
安	anb
痷	anbm
厂	anc
厈	ancm
洝	anem
隌	anfm
鞍	ang
庵	angb
广	angc
鞌	angm
黯	anh
案	ani
桉	anib
铵	anj
銨	anjm
錌	anjn
裺	ankm
胺	anl
腤	anlm
盦	anmm
闇	anmn
盫	anmo
鹌	ann
鵪	annm
婩	annn
媕	anno
鶕	annp
咹	anom
唵	anon
啽	anoo
氨	anq
犴	anqb
暗	anr
晻	anrm
雸	anrn
岸	ans
屵	ansm
屽	ansn
峖	anso
罯	ansp
埯	ant
垵	antm
堓	antn
荌	anum
菴	anun
葊	anuo
萻	anup
蓭	anuq
俺	anv
侒	anvm
偣	anvn
儑	anvo
玵	anwm
馣	anxm
谙	any
諳	anym
誝	anyn
鮟	anyo
韽	anyp
豻	anzm
貋	anzn
拗	aoa
扷	aoam
抝	aoan
摮	aoao
擙	aoap
螯	aoc
镺	aocm
軪	aocn
厫	aoco
奥	aod
奧	aodm
奡	aodn
澳	aoe
泑	aoem
滶	aoen
澚	aoeo
聱	aof
郩	aofm
隞	aofn
隩	aofo
廒	aog
熬	aoh
熝	aohm
爊	aohn
柪	aoim
梎	aoin
鏊	aoj
凹	aok
袄	aokb
襖	aokm
鏖	aol
骜	aom
驁	aomm
眑	aomn
鼇	aomo
媪	aon
媼	aonm
嫯	aonn
鷔	aono
嗷	aoo
囂	aoom
嗸	aoon
磝	aopm
獒	aoq
獓	aoqm
岙	aos
嶴	aosm
岰	aosn
嶅	aoso
坳	aot
垇	aotm
墺	aotn
艹	aou
芺	aoum
蔜	aoun
傲	aov
敖	aow
璈	aowm
懊	aox
慠	aoxm
翱	aoy
鳌	aoyb
翺	aoym
鰲	aoyn
謷	aoyo
翶	aoyp
謸	aoyq
遨	aoz
把	baa
拔	baab
扒	baac
捌	baad
抜	baam
扷	baan
八	bab
疤	babb
丷	babm
皅	babn
癹	babo
蚆	bacm
軷	bacn
夿	badm
灞	bae
爸	baf
颰	bafm
靶	bag
魃	bagb
弝	bagm
炦	bahm
朳	baim
柭	bain
欛	baio
钯	baj
鈀	bajm
釟	bajn
釛	bajo
笆	bak
耙	bal
胈	balm
粑	bam
妭	banm
吧	bao
叭	baob
巼	baom
哱	baon
哵	baoo
霸	bar
巴	bas
罢	basb
岜	basc
罷	basm
峇	basn
豝	baso
鼥	basp
矲	basq
坝	bat
壩	batm
垻	batn
芭	bau
茇	baub
菝	bauc
仈	bavm
玐	bawm
覇	baxm
鲅	bay
鮁	baym
犮	bayn
叐	bayo
羓	bayp
鲃	bayq
詙	bayr
鲌	bays
魞	bayt
鮊	bayu
跋	baz
跁	bazm
报	bca
抱	bcab
包	bcb
宝	bcbb
宀	bcbc
勹	bcbd
寶	bcbm
勽	bcbn
宲	bcbo
寚	bcbp
髱	bcbq
賲	bcbr
寳	bcbs
龅	bcc
齙	bccm
蚫	bccn
忁	bcco
剥	bcd
刨	bcdb
剝	bcdm
瀑	bce
緥	bcfm
骲	bcgm
爆	bch
炮	bchb
煲	bchc
虣	bchm
枹	bcim
铇	bcjm
鉋	bcjn
鑤	bcjo
褒	bck
褓	bckb
笣	bckm
袌	bckn
裦	bcko
襃	bckp
胞	bcl
靤	bcmm
駂	bcmn
闁	bcmo
鸨	bcn
鴇	bcnm
媬	bcnn
鳵	bcno
犦	bcnp
嚗	bcom
犳	bcqm
暴	bcr
曝	bcrb
雹	bcrc
曓	bcrm
靌	bcrn
饱	bcs
飽	bcsm
飹	bcsn
堡	bct
報	bctm
堢	bctn
薄	bcu
苞	bcub
葆	bcuc
菢	bcum
蕔	bcun
藵	bcuo
保	bcv
佨	bcvm
儤	bcvn
珤	bcwm
怉	bcxm
窇	bcxn
鲍	bcy
鮑	bcym
豹	bcz
孢	bczb
趵	bczc
摆	bda
拜	bdab
掰	bdac
捭	bdad
擘	bdae
擺	bdam
拝	bdan
挀	bdao
白	bdb
百	bdbb
败	bdbc
贁	bdbm
絔	bdfm
庍	bdgm
稗	bdh
柏	bdi
栢	bdim
兡	bdkm
襬	bdkn
竡	bdlm
粨	bdmm
粺	bdmn
犤	bdnm
呗	bdo
唄	bdom
猈	bdqm
薭	bdum
伯	bdv
佰	bdvb
敗	bdwm
瓸	bdwn
韛	bdwo
捹	bgam
撪	bgan
贲	bgb
賁	bgbm
蟦	bgcm
奔	bgd
夯	bgdb
夲	bgdm
奙	bgdn
泍	bgem
渀	bgen
漰	bgeo
體	bggm
炃	bghm
本	bgi
栟	bgim
桳	bgin
楍	bgio
锛	bgj
錛	bgjm
笨	bgk
犇	bgnm
喯	bgom
坌	bgt
畚	bgtb
坋	bgtm
苯	bgu
倴	bgvm
翉	bgym
逩	bgzm
挷	bham
捠	bhan
搒	bhao
蚌	bhc
蚄	bhcm
蛖	bhcn
蜯	bhco
浜	bhe
邦	bhf
绑	bhfb
旁	bhfc
綁	bhfm
邫	bhfn
縍	bhfo
鞤	bhgm
髈	bhgn
稖	bhhm
棒	bhi
榜	bhib
梆	bhic
棓	bhim
帮	bhj
镑	bhjb
幫	bhjm
鎊	bhjn
幇	bhjo
幚	bhjp
膀	bhl
磅	bhp
硥	bhpm
牓	bhpn
峀	bhsm
垹	bhtm
塝	bhtn
蒡	bhu
傍	bhv
玤	bhwm
谤	bhy
謗	bhym
艕	bhzm
比	bib
毕	bibb
鼻	bibc
匕	bibd
毙	bibe
痹	bibf
贲	bibg
毖	bibh
賁	bibm
匂	bibn
皀	bibo
疕	bibp
疪	bibq
皕	bibr
貱	bibs
赑	bibt
痺	bibu
髲	bibv
贔	bibw
彼	bic
蜌	bicm
螕	bicn
夶	bidm
豍	bidn
奰	bido
泌	bie
濞	bieb
滗	biec
潷	biem
沘	bien
湢	bieo
滭	biep
鄙	bif
陛	bifb
紕	bifm
邲	bifn
旇	bifo
紴	bifp
聛	bifq
鄪	bifr
綼	bifs
縪	bift
鄨	bifu
繴	bifv
弊	big
庇	bigb
弼	bigc
髀	bigd
庳	bige
弻	bigm
彃	bign
廦	bigo
鞞	bigp
鞸	bigq
魓	bigr
秘	bih
秕	bihb
煏	bihm
稫	bihn
熚	biho
朼	biim
柲	biin
柀	biio
梐	biip
楅	biiq
榌	biir
币	bij
铋	bijb
幣	bijm
鉍	bijn
幤	bijo
觱	bijp
鏎	bijq
鎞	bijr
鐴	bijs
笔	bik
裨	bikb
篦	bikc
筚	bikd
箅	bike
襞	bikf
筆	bikm
篳	bikn
笓	biko
袐	bikp
箆	bikq
箄	bikr
襅	biks
襣	bikt
臂	bil
肶	bilm
胇	biln
腷	bilo
闭	bim
睥	bimb
閉	bimm
闬	bimn
毞	bimo
粊	bimp
粃	bimq
閈	bimr
閇	bims
毴	bimt
睤	bimu
閟	bimv
駜	bimw
驆	bimx
鼊	bimy
婢	bin
妣	binb
嬖	binc
妼	binm
娝	binn
嬶	bino
鵖	binp
鶝	binq
鷝	binr
鷩	bins
哔	bio
吡	biob
嗶	biom
咇	bion
啚	bioo
碧	bip
屄	bipm
狴	biq
獙	biqm
獘	biqn
朇	birm
祕	bism
崥	bisn
禆	biso
飶	bisp
罼	bisq
饆	bisr
壁	bit
畀	bitb
畢	bitm
坒	bitn
畁	bito
畐	bitp
堛	bitq
蔽	biu
薜	biub
荜	biuc
蓖	biud
芘	biue
萆	biuf
荸	biug
蓽	bium
苾	biun
萞	biuo
俾	biv
佖	bivm
佊	bivn
偪	bivo
璧	biw
敝	biwb
斃	biwm
珌	biwn
韠	biwo
必	bix
辟	bixb
愎	bixc
怭	bixm
怶	bixn
愊	bixo
馝	bixp
诐	biym
翍	biyn
詖	biyo
鮅	biyp
鲾	biyq
鰏	biyr
避	biz
逼	bizb
跸	bizc
舭	bizd
蹕	bizm
迊	bizn
貏	bizo
躃	bizp
躄	bizq
抃	bjam
揙	bjan
贬	bjb
髟	bjbb
貶	bjbm
疺	bjbn
蝙	bjc
釆	bjcm
徧	bjcn
卞	bjd
豍	bjdm
汴	bje
汳	bjem
编	bjf
匾	bjfb
缏	bjfc
編	bjfm
緶	bjfn
鞭	bjg
弁	bjgb
鞕	bjgm
扁	bjh
煸	bjhb
炞	bjhm
稨	bjhn
覍	bjjm
鍽	bjjn
覵	bjjo
笾	bjk
褊	bjkb
籩	bjkm
箯	bjkn
籓	bjko
閞	bjmm
糄	bjmn
鴘	bjnm
鶣	bjnn
砭	bjp
碥	bjpb
牑	bjpm
猵	bjqm
獱	bjqn
昪	bjrm
峅	bjsm
苄	bju
萹	bjum
藊	bjun
便	bjv
玣	bjwm
甂	bjwn
辩	bjx
辨	bjxb
辫	bjxc
忭	bjxd
窆	bjxe
辮	bjxm
辯	bjxn
惼	bjxo
辡	bjxp
辧	bjxq
变	bjy
鳊	bjyb
變	bjym
鯿	bjyn
諚	bjyo
鯾	bjyp
边	bjz
遍	bjzb
邊	bjzm
辺	bjzn
変	bjzo
臱	bjzp
艑	bjzq
邉	bjzr
兺	bkbm
搬	bla
扮	blab
拌	blac
扳	blad
搫	blam
半	blb
瘢	blbb
癍	blbc
蝂	blcm
螁	blcn
螌	blco
湴	blem
绊	blf
阪	blfb
絆	blfm
靽	blgm
秚	blhm
板	bli
柈	blim
钣	blj
鈑	bljm
鉡	bljn
褩	blkm
办	bll
朌	bllm
肦	blln
粄	blmm
闆	blmn
姅	blnm
鳻	blnn
版	blp
昄	blrm
岅	blsm
坂	blt
坢	bltm
伴	blv
班	blw
斑	blwb
瓪	blwm
攽	blwn
斒	blwo
瓣	blx
辦	blxm
怑	blxn
辬	blxo
颁	bly
頒	blym
魬	blyn
般	blz
舨	blzb
跘	blzm
摽	bmam
髟	bmb
瘭	bmbb
贆	bmbm
淲	bmem
滮	bmen
瀌	bmeo
飙	bmf
飚	bmfb
飑	bmfc
飆	bmfm
飈	bmfn
颮	bmfo
颩	bmfp
颷	bmfq
飇	bmfr
飊	bmfs
灬	bmh
熛	bmhm
爂	bmhn
穮	bmho
标	bmi
杓	bmib
標	bmim
檦	bmin
镖	bmj
镳	bmjb
鏢	bmjm
鑣	bmjn
幖	bmjo
鋲	bmjp
錶	bmjq
表	bmk
裱	bmkb
褾	bmkm
篻	bmkn
膘	bml
脿	bmlm
膔	bmln
麃	bmlo
臕	bmlp
骠	bmm
驃	bmmm
骉	bmmn
驫	bmmo
婊	bmn
嫑	bmnm
磦	bmpm
猋	bmqm
彪	bms
墂	bmtm
蔈	bmum
藨	bmun
俵	bmvm
僄	bmvn
儦	bmvo
鳔	bmy
鰾	bmym
諘	bmyn
謤	bmyo
播	boa
搏	boab
拨	boac
擘	boad
撥	boam
挬	boan
卜	bob
魄	bobb
癶	bobm
皪	bobn
彴	bocm
蚾	bocn
剥	bod
剝	bodm
殕	bodn
波	boe
泊	boeb
渤	boec
浡	boem
淿	boen
溊	boeo
缽	bofm
郣	bofn
紴	bofo
瓝	bogm
瓟	bogn
髆	bogo
髉	bogp
秡	bohm
煿	bohn
穛	boho
柏	boi
檗	boib
柭	boim
栢	boin
桲	boio
榑	boip
檘	boiq
欂	boir
钵	boj
帛	bojb
钹	bojc
铂	bojd
鉑	bojm
鈸	bojn
鉢	bojo
镈	bojp
鋍	bojq
鎛	bojr
鑮	bojs
箔	bok
簸	bokb
袯	bokm
袹	bokn
襏	boko
簙	bokp
襮	bokq
脖	bol
勃	bolb
膊	bolc
肑	bolm
胉	boln
驳	bom
駁	bomm
盋	bomn
駮	bomo
糪	bomp
驋	bomq
鹁	bon
鵓	bonm
犦	bonn
啵	boo
哱	boom
噃	boon
嚗	booo
礴	bop
砵	bopm
碆	bopn
牔	bopo
磻	bopp
礡	bopq
狛	boqm
猼	boqn
博	bos
饽	bosb
餑	bosm
馎	bosn
嶓	boso
餺	bosp
亳	bot
壆	botm
薄	bou
菠	boub
蔔	boum
蘗	boun
苩	bouo
萡	boup
葧	bouq
伯	bov
仢	bovm
侼	bovn
僰	bovo
僠	bovp
玻	bow
愽	boxm
馛	boxn
馞	boxo
懪	boxp
詙	boym
鲌	boyn
誖	boyo
鮊	boyp
謈	boyq
譒	boyr
鱍	boys
舶	boz
跛	bozb
孛	bozc
踣	bozd
艊	bozm
孹	bozn
蹳	bozo
揹	bpam
北	bpb
贝	bpbb
貝	bpbm
辈	bpc
輩	bpcm
軰	bpcn
蛽	bpco
陂	bpf
邶	bpfb
郥	bpfm
鄁	bpfn
鞴	bpg
庳	bpgb
鞁	bpgm
骳	bpgn
鞞	bpgo
焙	bph
杯	bpi
杮	bpim
柸	bpin
桮	bpio
梖	bpip
棑	bpiq
椑	bpir
棓	bpis
钡	bpj
鐾	bpjb
鋇	bpjm
鉳	bpjn
被	bpk
褙	bpkb
箄	bpkm
襬	bpkn
背	bpl
臂	bplb
盃	bpmm
糒	bpmn
鹎	bpn
鵯	bpnm
牬	bpnn
犕	bpno
呗	bpo
唄	bpom
碑	bpp
碚	bppb
狈	bpq
狽	bpqm
昁	bprm
卑	bps
禙	bpsm
蓓	bpu
苝	bpum
藣	bpun
倍	bpv
備	bpvm
俻	bpvn
偝	bpvo
偹	bpvp
僃	bpvq
珼	bpwm
琲	bpwn
悲	bpx
惫	bpxb
悖	bpxc
憊	bpxm
愂	bpxn
誖	bpym
諀	bpyn
备	bpz
孛	bpzb
瘪	btb
癟	btbm
蛂	btcm
徶	btcn
蟞	btco
别	btd
別	btdm
彆	btgm
龞	btgn
柭	btim
柲	btin
襒	btkm
鼈	btmm
咇	btom
莂	btum
虌	btun
憋	btx
鳖	bty
鱉	btym
蹩	btz
捕	bua
抪	buam
捗	buan
捬	buao
卜	bub
轐	bucm
部	buf
郶	bufm
巭	bugm
庯	bugn
廍	bugo
不	buh
柨	buim
布	buj
钚	bujb
钸	bujc
鈈	bujm
鈽	bujn
錻	bujo
补	buk
簿	bukb
補	bukm
箁	bukn
篰	buko
勏	bulm
婄	bunm
鳪	bunn
鵏	buno
鸔	bunp
卟	buo
哺	buob
吥	buom
咘	buon
醭	buq
晡	bur
峬	busm
餔	busn
餢	buso
埠	but
埔	butb
堡	butc
埗	butm
蔔	buum
荹	buun
蔀	buuo
佈	buvm
瓿	buw
怖	bux
悑	buxm
誧	buym
鯆	buyn
步	buz
逋	buzb
歨	buzm
歩	buzn
踄	buzo
摈	bxa
擯	bxam
宾	bxb
鬓	bxbb
賓	bxbm
鬢	bxbn
髩	bxbo
賔	bxbp
鬂	bxbq
蠙	bxcm
殡	bxd
殯	bxdm
滨	bxe
濒	bxeb
濱	bxem
瀕	bxen
汃	bxeo
濵	bxep
缤	bxf
繽	bxfm
邠	bxfn
髌	bxg
髕	bxgm
虨	bxhm
槟	bxi
檳	bxim
梹	bxin
椕	bxio
镔	bxj
鑌	bxjm
膑	bxl
臏	bxlm
砏	bxpm
霦	bxrm
彬	bxs
豳	bxsb
豩	bxsm
傧	bxv
儐	bxvm
斌	bxw
玢	bxwb
瑸	bxwm
璸	bxwn
頻	bxym
顮	bxyn
摒	bya
抦	byam
掤	byan
兵	byb
并	bybb
冰	bybc
病	bybd
冫	bybe
並	bybm
寎	bybn
蛃	bycm
氷	byem
邴	byf
綆	byfm
陃	byfn
絣	byfo
幷	bygm
庰	bygn
鞆	bygo
鞞	bygp
鞸	bygq
秉	byh
炳	byhb
丙	byhc
稟	byhm
柄	byi
槟	byib
檳	byim
栤	byin
栟	byio
梹	byip
棅	byiq
鈵	byjm
鉼	byjn
鋲	byjo
竝	bylm
眪	bymm
屏	byp
屛	bypm
昞	byrm
昺	byrn
靐	byro
饼	bys
禀	bysb
餅	bysm
餠	bysn
垪	bytm
苪	byum
仌	byvm
仒	byvn
併	byvo
倂	byvp
偋	byvq
傡	byvr
琕	bywm
怲	byxm
窉	byxn
誁	byym
鮩	byyn
揼	bzam
痭	bzbm
蚌	bzc
蜯	bzcm
奟	bzdm
泵	bze
绷	bzf
繃	bzfm
絣	bzfn
綳	bzfo
鞛	bzgm
镚	bzjm
鏰	bzjn
閍	bzmm
嘣	bzo
嗙	bzom
崩	bzs
祊	bzsm
嵭	bzsn
埄	bztm
埲	bztn
塴	bzto
菶	bzum
伻	bzvm
甏	bzw
琫	bzwm
琣	bzwn
甭	bzy
甮	bzym
蹦	bzz
迸	bzzb
逬	bzzm
跰	bzzn
擦	caa
拆	caab
攃	caam
嚓	cao
囃	caom
礤	cap
礸	capm
遪	cazm
操	cca
撡	ccam
螬	ccc
漕	cce
鄵	ccfm
鼜	ccgm
槽	cci
鏪	ccjm
鏕	ccjn
褿	cckm
襙	cckn
屮	ccl
糙	ccm
騲	ccmm
嘈	cco
曹	ccr
肏	ccrm
曺	ccrn
嶆	ccsm
墽	cctm
草	ccu
艹	ccub
艸	ccum
蓸	ccun
傮	ccvm
愺	ccxm
慅	ccxn
慒	ccxo
懆	ccxp
艚	ccz
扐	cdam
採	cdan
揌	cdao
财	cdb
財	cdbm
宷	cdbn
寀	cdbo
采	cdc
綵	cdfm
縩	cdfn
纔	cdfo
戝	cdgm
才	cdh
材	cdi
棌	cdim
裁	cdk
睬	cdm
婇	cdnm
啋	cdom
猜	cdq
彩	cds
埰	cdtm
菜	cdu
蔡	cdub
倸	cdvm
偲	cdvn
踩	cdz
跴	cdzm
拺	ceam
厕	cec
厠	cecm
夨	cedm
测	cee
測	ceem
廁	cegm
策	cek
笧	cekm
筴	cekn
筞	ceko
箣	cekp
簎	cekq
粣	cemm
册	cep
冊	cetm
畟	cetn
荝	ceum
萗	ceun
萴	ceuo
蓛	ceup
侧	cev
側	cevm
敇	cewm
恻	cex
惻	cexm
憡	cexn
凑	cfb
辏	cfc
輳	cfcm
湊	cfem
楱	cfi
腠	cfl
傶	cfvm
玼	cfwm
涔	cge
汵	cgem
穇	cghm
梣	cgim
笒	cgkm
篸	cgkn
参	cgs
岑	cgsb
參	cgsm
叄	cgsn
叅	cgso
嵾	cgsp
埁	cgtm
凔	chbm
賶	chbn
螥	chcm
沧	che
滄	chem
濸	chen
匨	chfm
臧	chg
欌	chim
鑶	chjm
篬	chkm
鸧	chnm
鶬	chnn
獊	chqm
嵢	chsm
藏	chu
苍	chub
蒼	chum
仓	chv
伧	chvb
倉	chvm
傖	chvn
仺	chvo
玱	chwm
瑲	chwn
舱	chz
艙	chzm
赐	cib
兹	cibb
疵	cibc
賜	cibm
皉	cibn
蛓	cicm
螆	cicn
蠀	cico
齹	cicp
刺	cid
刾	cidm
泚	ciem
濨	cien
絘	cifm
縒	cifn
差	cig
庛	cigm
骴	cign
髊	cigo
朿	ciim
柌	ciin
栨	ciio
糍	cim
鹚	cin
鶿	cinm
嬨	cinn
鴜	cino
鷀	cinp
呰	ciom
啙	cion
磁	cip
礠	cipm
次	ciq
祠	cis
飺	cism
餈	cisn
垐	citm
茨	ciu
茈	ciub
茦	cium
莿	ciun
薋	ciuo
伺	civ
乲	civm
佌	civn
佽	civo
偨	civp
瓷	ciw
珁	ciwm
玼	ciwn
甆	ciwo
辞	cix
慈	cixb
辭	cixm
辝	cixn
辤	cixo
词	ciy
詞	ciym
鮆	ciyn
此	ciz
雌	cizb
趀	cizm
跐	cizn
拵	ckam
寸	ckc
刌	ckdm
澊	ckem
邨	ckfm
村	cki
竴	cklm
